일자,전국,서울,경기,인천,강원,충북,충남,전북,전남,경북,경남,세종,대전,대구,부산,광주,울산,제주
2025-08-05,1538.59,1625.1,1537.79,1538.7,1552.56,1542.66,1540.1,1527.11,1540.42,1524.85,1528.39,1527.42,1538.04,1502.8,1530.06,1526.91,1519.07,1586.48
2025-08-06,1538.92,1623.7,1538.05,1538.31,1553.11,1543.46,1540.86,1527.84,1540.62,1525.2,1528.76,1529.38,1537.74,1502.9,1530.1,1527.1,1519.85,1588.01
2025-08-07,1539.01,1623.03,1537.58,1537.28,1553.72,1543.72,1541.28,1528.33,1541.39,1525.43,1529.21,1529.89,1537.26,1503.13,1530.05,1527.2,1519.17,1588.12
2025-08-08,1539.16,1622.15,1537.34,1537.52,1554.14,1543.79,1541.69,1528.67,1541.88,1525.67,1529.61,1531.27,1536.64,1503.41,1530.85,1527.32,1518.92,1588.62
2025-08-09,1538.53,1616.17,1536.67,1535.78,1554.17,1543.26,1541.4,1528.5,1541.71,1525.4,1529.3,1530.02,1535.98,1503.6,1530.59,1526.69,1517.59,1589.35
2025-08-10,1538.38,1617.0,1536.42,1535.54,1554.18,1542.94,1541.49,1528.22,1541.99,1525.11,1529.12,1531.28,1535.07,1503.25,1530.6,1526.26,1516.87,1590.43
2025-08-11,1538.84,1621.49,1536.66,1535.29,1554.33,1544.06,1542.05,1528.56,1541.98,1525.57,1528.77,1531.91,1535.27,1503.24,1530.88,1526.02,1517.96,1589.27
2025-08-12,1538.35,1619.26,1535.91,1531.6,1554.6,1543.32,1542.16,1528.02,1542.29,1525.57,1528.47,1531.52,1534.33,1503.2,1530.79,1525.73,1516.19,1589.81
2025-08-13,1537.97,1618.7,1535.12,1531.84,1553.99,1543.35,1541.23,1528.37,1542.33,1525.31,1528.36,1531.36,1533.65,1502.76,1529.83,1525.01,1516.9,1589.5
2025-08-14,1537.71,1617.94,1534.95,1530.83,1554.04,1543.26,1541.31,1527.9,1542.14,1524.86,1528.12,1530.73,1533.31,1501.88,1529.93,1525.01,1515.45,1589.78
2025-08-15,1537.02,1616.31,1533.63,1530.49,1554.1,1542.58,1540.7,1527.24,1542.0,1524.61,1528.0,1530.48,1531.58,1501.48,1528.73,1523.67,1514.9,1589.73
2025-08-16,1536.56,1611.35,1532.98,1529.48,1553.74,1541.71,1540.88,1527.34,1541.39,1524.68,1527.48,1529.94,1531.47,1501.26,1529.67,1524.62,1514.07,1589.68
2025-08-17,1536.31,1611.1,1532.55,1530.32,1553.94,1541.41,1540.56,1526.85,1541.19,1524.65,1527.15,1529.86,1529.96,1501.31,1529.02,1524.57,1513.73,1589.58
2025-08-18,1536.51,1615.21,1532.86,1530.49,1553.39,1541.85,1540.34,1527.3,1541.1,1524.34,1527.41,1530.17,1529.47,1501.16,1528.92,1524.59,1514.26,1589.89
2025-08-19,1535.72,1614.27,1531.48,1528.81,1552.76,1541.47,1540.09,1526.63,1540.16,1523.24,1527.72,1528.72,1528.99,1499.96,1528.98,1522.81,1513.3,1589.62
2025-08-20,1535.2,1613.74,1530.43,1528.75,1552.25,1541.46,1539.39,1526.76,1540.47,1522.94,1526.53,1527.94,1527.45,1498.3,1529.39,1522.42,1514.11,1588.85
2025-08-21,1534.26,1612.01,1528.7,1526.89,1551.96,1540.59,1538.37,1526.0,1540.0,1522.51,1525.91,1527.92,1525.81,1498.01,1529.24,1521.16,1515.12,1586.83
2025-08-22,1533.78,1610.33,1527.95,1525.74,1551.91,1540.3,1538.46,1525.89,1539.84,1521.9,1525.76,1527.22,1524.81,1497.82,1528.25,1521.19,1513.76,1585.82
2025-08-23,1532.91,1605.14,1526.74,1524.39,1551.77,1539.0,1537.91,1525.8,1539.44,1521.4,1525.39,1527.2,1523.86,1497.47,1527.01,1520.66,1513.52,1585.23
2025-08-24,1532.48,1604.19,1526.16,1523.2,1551.26,1538.02,1537.81,1525.5,1539.36,1521.08,1525.01,1527.02,1523.44,1497.63,1527.06,1520.37,1513.21,1584.69
2025-08-25,1533.22,1609.79,1526.96,1524.13,1551.33,1538.56,1538.01,1525.92,1539.27,1521.71,1525.43,1527.45,1524.15,1498.36,1527.26,1520.84,1516.82,1584.41
2025-08-26,1532.9,1609.69,1526.91,1524.79,1551.18,1538.04,1537.31,1525.02,1539.38,1521.5,1525.35,1525.97,1522.82,1496.26,1526.75,1520.24,1516.49,1583.89
2025-08-27,1532.51,1608.68,1526.45,1525.41,1551.18,1537.94,1537.44,1524.83,1538.98,1520.57,1524.51,1527.11,1522.45,1496.87,1524.74,1520.06,1516.63,1583.26
2025-08-28,1532.22,1608.43,1525.73,1525.69,1551.06,1537.83,1536.81,1525.18,1538.35,1520.69,1524.62,1526.67,1522.33,1496.84,1524.06,1519.03,1517.03,1582.54
2025-08-29,1532.12,1607.75,1525.61,1526.72,1550.46,1537.39,1536.99,1524.7,1538.73,1520.7,1524.63,1526.41,1521.79,1496.75,1524.36,1518.62,1516.73,1582.78
2025-08-30,1531.24,1602.11,1524.12,1524.92,1550.7,1536.89,1536.55,1524.2,1538.23,1520.55,1524.1,1525.31,1522.26,1496.24,1522.78,1519.17,1515.52,1582.48
2025-08-31,1530.96,1603.22,1524.13,1523.79,1550.6,1535.92,1536.07,1523.99,1537.9,1520.34,1523.47,1525.27,1521.3,1495.81,1522.79,1518.63,1515.14,1582.32
2025-09-01,1531.35,1607.06,1524.37,1524.46,1550.16,1537.03,1536.02,1524.09,1538.19,1520.68,1523.84,1524.95,1521.27,1496.14,1522.89,1519.09,1515.03,1582.78
2025-09-02,1530.96,1605.31,1523.83,1524.76,1549.77,1537.04,1535.87,1523.78,1537.36,1520.23,1523.57,1525.42,1521.8,1495.53,1522.63,1518.4,1515.65,1582.94
2025-09-03,1530.57,1605.2,1523.43,1524.29,1549.38,1536.68,1535.74,1523.57,1537.4,1519.92,1522.98,1524.33,1520.41,1495.2,1521.54,1517.88,1514.65,1581.95
2025-09-04,1530.43,1604.5,1522.86,1521.69,1549.75,1537.18,1535.49,1523.76,1537.68,1519.83,1522.8,1523.78,1520.63,1495.97,1521.58,1518.05,1514.46,1582.52
2025-09-05,1530.27,1603.18,1522.65,1522.69,1549.89,1536.64,1535.49,1523.67,1537.56,1519.69,1522.6,1524.7,1520.91,1495.15,1521.31,1518.09,1514.5,1582.93
2025-09-06,1529.75,1600.09,1521.65,1521.74,1549.75,1536.95,1535.35,1523.61,1536.94,1519.58,1522.0,1523.68,1520.38,1495.04,1520.75,1517.69,1514.08,1583.81
2025-09-07,1529.52,1600.18,1521.32,1521.82,1549.75,1536.31,1535.38,1523.25,1536.55,1519.52,1521.59,1523.68,1520.26,1494.6,1520.2,1517.67,1514.07,1584.71
2025-09-08,1530.07,1604.19,1522.36,1523.67,1549.51,1536.93,1535.33,1523.53,1536.55,1519.48,1522.06,1524.56,1519.62,1494.78,1520.59,1518.52,1514.53,1584.66
2025-09-09,1530.42,1605.29,1522.98,1523.18,1550.24,1537.14,1535.45,1523.55,1536.67,1519.58,1522.17,1523.92,1519.62,1495.15,1520.46,1518.47,1513.49,1590.16
2025-09-10,1530.5,1605.18,1522.9,1522.81,1549.63,1537.02,1535.19,1523.46,1537.39,1519.83,1522.69,1523.84,1520.65,1494.35,1519.8,1519.35,1513.2,1593.51
2025-09-11,1530.36,1604.4,1522.83,1522.9,1550.02,1536.96,1534.71,1523.62,1537.17,1519.61,1522.7,1524.08,1519.59,1494.19,1519.46,1519.07,1513.08,1594.13
2025-09-12,1530.29,1604.2,1522.73,1522.46,1549.93,1536.88,1534.9,1523.51,1536.74,1519.73,1522.56,1523.47,1520.02,1494.33,1519.44,1519.34,1512.44,1594.19
2025-09-13,1529.72,1600.79,1521.77,1520.93,1549.81,1536.65,1534.86,1522.82,1536.73,1519.28,1522.6,1524.09,1519.48,1494.2,1518.62,1518.91,1511.59,1594.06
2025-09-14,1529.51,1599.8,1521.77,1521.71,1549.91,1536.18,1534.51,1522.86,1536.33,1519.12,1522.16,1523.78,1518.53,1493.73,1518.33,1518.78,1511.76,1594.26
2025-09-15,1530.23,1603.37,1522.9,1523.06,1550.12,1537.45,1534.63,1523.43,1536.42,1519.8,1522.24,1523.94,1519.24,1493.75,1518.8,1520.02,1513.0,1594.14
2025-09-16,1530.0,1602.89,1522.81,1523.2,1549.86,1537.29,1534.54,1523.26,1536.31,1518.74,1522.54,1523.73,1520.73,1493.99,1518.74,1519.01,1511.85,1591.06
2025-09-17,1530.15,1602.75,1522.78,1523.53,1549.76,1536.62,1534.86,1523.89,1537.0,1519.51,1522.85,1523.13,1520.65,1494.3,1518.86,1521.2,1512.01,1585.27
2025-09-18,1530.55,1604.35,1523.37,1525.55,1550.67,1537.21,1534.99,1524.28,1535.98,1520.03,1522.91,1522.88,1521.26,1494.62,1520.34,1521.04,1512.56,1583.22
2025-09-19,1530.81,1605.22,1523.81,1527.01,1550.62,1537.24,1535.07,1524.14,1536.29,1519.96,1523.84,1523.17,1521.11,1494.95,1519.18,1521.78,1512.6,1583.24
2025-09-20,1530.41,1602.29,1522.86,1526.24,1550.98,1536.9,1535.24,1523.97,1536.21,1519.57,1523.79,1523.17,1521.1,1494.78,1520.05,1521.21,1511.95,1582.63
2025-09-21,1530.3,1601.9,1522.89,1526.14,1551.21,1536.12,1535.47,1523.99,1535.85,1519.58,1523.78,1523.25,1520.77,1494.98,1518.92,1520.27,1512.02,1582.52
2025-09-22,1531.15,1607.24,1524.1,1527.74,1551.33,1537.42,1535.48,1524.59,1536.27,1520.18,1524.22,1524.19,1520.62,1495.57,1519.57,1521.02,1512.17,1582.47
